step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
590.0,201,3771.0,8.109677419354838,3.998836131217285,201,23747.0,0.23152323764801133,201,23747.0
595.0,181,2458.0,5.174736842105263,4.24230110167708,181,22645.0,0.24305602890026012,181,22645.0
600.0,177,1859.0,3.8488612836438922,4.307481175286425,177,23524.0,0.2420759855325822,177,23524.0
605.0,197,1812.0,3.6979591836734693,4.141507988589693,197,24313.0,0.22625716110080704,197,24313.0
610.0,221,2181.0,4.379518072289157,4.0081195017748215,221,25184.0,0.2093856705378158,221,25184.0
615.0,220,2561.0,5.011741682974559,3.972810421613974,220,24385.0,0.2090982721865323,220,24385.0
620.0,236,3041.0,5.859344894026975,3.9443371407284555,236,25496.0,0.20341688720360115,236,25496.0
625.0,240,3572.0,6.869230769230769,3.850802586668086,240,26592.0,0.20106227205093277,240,26592.0
630.0,251,4211.0,7.975378787878788,3.5897040052626457,251,27834.0,0.17941033398277378,251,27834.0
635.0,257,4986.0,9.267657992565056,3.4297765690678035,257,29018.0,0.1708072731118796,257,29018.0
640.0,270,6052.0,11.104587155963303,3.3251866784947186,270,30337.0,0.172764320939883,270,30337.0
645.0,287,7328.0,13.421245421245422,3.1637449568536016,287,31741.0,0.1718083923981794,287,31741.0
650.0,303,8704.0,15.970642201834863,2.9451086893585727,303,33129.0,0.16458063394729414,303,33129.0
655.0,320,10051.0,18.30783242258652,2.8774623085890187,320,34715.0,0.16475472427964197,320,34715.0
660.0,321,10627.0,19.07899461400359,2.9664086211468175,321,33974.0,0.16927267308517494,321,33974.0
665.0,316,11372.0,20.270944741532976,3.084898254209638,316,33904.0,0.17365295909215764,316,33904.0
670.0,329,11750.0,20.577933450087567,3.0376684153423255,329,35170.0,0.16582892111752193,329,35170.0
675.0,329,10333.0,17.970434782608695,2.9551153376471286,329,35141.0,0.15626443455155728,329,35141.0
680.0,326,9274.0,15.962134251290879,3.0413150420178887,326,35643.0,0.1581312582507041,326,35643.0
685.0,322,8273.0,14.16609589041096,3.031076345388066,322,36936.0,0.15819783270574206,322,36936.0
690.0,294,6788.0,11.332220367278797,3.154590160509738,294,36726.0,0.16132532770816663,294,36726.0
695.0,267,5455.0,8.97203947368421,3.3198920359507387,267,38016.0,0.17037252052897078,267,38016.0
700.0,255,4325.0,7.043973941368078,3.259940058702117,255,39219.0,0.16550375322930388,255,39219.0
705.0,268,3918.0,6.228934817170111,3.3714537206402806,268,40523.0,0.17058639672158485,268,40523.0
710.0,256,3292.0,5.15987460815047,3.4520923291743424,256,41676.0,0.1764895720057116,256,41676.0
715.0,239,2822.0,4.3751937984496125,3.4715754459659034,239,40936.0,0.18382745009155832,239,40936.0
720.0,248,3174.0,4.845801526717557,3.5380257261776196,248,40955.0,0.18403506434326972,248,40955.0
725.0,272,3580.0,5.383458646616542,3.4152979755124733,272,41629.0,0.17458616270535465,272,41629.0
730.0,280,3423.0,5.16289592760181,3.357023425710278,280,40934.0,0.171715105885347,280,40934.0
735.0,290,3594.0,5.380239520958084,3.222526634023929,290,42362.0,0.16346490245022802,290,42362.0
740.0,317,3954.0,5.8926974664679586,3.051457188939186,317,43853.0,0.1579170705067283,317,43853.0
745.0,340,4570.0,6.730486008836524,2.926107438879316,340,45432.0,0.14828944769259075,340,45432.0
750.0,350,5117.0,7.480994152046784,2.8126549248550954,350,46979.0,0.1451049292051587,350,46979.0
755.0,336,5115.0,7.413043478260869,2.77563861196424,336,46462.0,0.14668219174251262,336,46462.0
760.0,344,5383.0,7.679029957203994,2.800930866928518,344,48165.0,0.14523908878477576,344,48165.0
765.0,369,5940.0,8.342696629213483,2.7821475458361777,369,49956.0,0.1449598321735225,369,49956.0
770.0,410,6608.0,9.11448275862069,2.7084739203281387,410,51912.0,0.13903971826683278,410,51912.0
775.0,419,6755.0,9.128378378378379,2.5705940522741244,419,53667.0,0.13153871455321223,419,53667.0
